ratio_method,ratio_value,IR_original,clf_name,resampling_method,time_ratio,time_sampling,time_model,time_total
HARS,0.5,0.05,RF,ClusterCentroids,8.74976515769959,0.3655686378479,0.0878469944000244,9.20416355133057
HARS,0.5,0.05,MLP,ClusterCentroids,8.7890465259552,0.381921529769897,0.0859861373901367,9.25776624679565
HARS,0.5,0.05,XGB,ClusterCentroids,8.80195045471191,0.387487888336182,0.032376766204834,9.22350144386292
HARS,0.3,0.05,DT,SMOTE,6.38297820091248,0.00141644477844238,0.00717544555664063,6.39284992218018
HARS,0.3,0.05,KNN,SMOTE,6.38359308242798,0.00135493278503418,0.0933706760406494,6.47920632362366
HARS,0.3,0.05,LR,SMOTE,6.41244983673096,0.00139284133911133,0.00694513320922852,6.42165970802307
HARS,0.3,0.05,svmrbf,SMOTE,6.3664276599884,0.00138616561889648,0.105656623840332,6.47437262535095
HARS,0.3,0.05,svmlinear,SMOTE,6.3520519733429,0.00133228302001953,0.0761377811431885,6.43042016029358
HARS,0.3,0.05,RF,SMOTE,6.38199067115784,0.0014646053314209,0.172891139984131,6.55725479125977
HARS,0.3,0.05,MLP,SMOTE,6.31471800804138,0.00125288963317871,0.242091178894043,6.55892992019653
HARS,0.3,0.05,XGB,SMOTE,5.87223529815674,0.00128364562988281,0.069429874420166,5.94475769996643
HARS,0.1,0.05,DT,SMOTEENN,2.15537929534912,0.00401616096496582,0.00520443916320801,2.16569495201111
HARS,0.1,0.05,KNN,SMOTEENN,2.19042420387268,0.00405502319335938,0.0664255619049072,2.26165413856506
HARS,0.1,0.05,LR,SMOTEENN,2.19860553741455,0.00393366813659668,0.00592994689941406,2.20920968055725
HARS,0.1,0.05,svmrbf,SMOTEENN,2.1691677570343,0.0039973258972168,0.0120868682861328,2.18599390983582
HARS,0.1,0.05,svmlinear,SMOTEENN,2.25284552574158,0.00397849082946777,0.00869536399841309,2.26626467704773
HARS,0.1,0.05,RF,SMOTEENN,2.18504285812378,0.00395774841308594,0.10625147819519,2.29601883888245
HARS,0.1,0.05,MLP,SMOTEENN,2.19922280311584,0.0040130615234375,0.100746631622314,2.3047137260437
HARS,0.1,0.05,XGB,SMOTEENN,2.25647139549255,0.00444436073303223,0.0293188095092773,2.29149389266968
HARS,0.3,0.05,DT,SMOTETomek,5.89720153808594,0.00484824180603027,0.00789856910705566,5.91109871864319
HARS,0.3,0.05,KNN,SMOTETomek,6.07889699935913,0.00489997863769531,0.0936322212219238,6.17832469940186
HARS,0.3,0.05,LR,SMOTETomek,6.04071354866028,0.00484418869018555,0.00757265090942383,6.05402231216431
HARS,0.3,0.05,svmrbf,SMOTETomek,6.00151371955872,0.00482583045959473,0.0887610912322998,6.09604859352112
HARS,0.3,0.05,svmlinear,SMOTETomek,5.98875427246094,0.00479817390441895,0.069561243057251,6.06399393081665
HARS,0.3,0.05,RF,SMOTETomek,5.95746564865112,0.00483369827270508,0.168277263641357,6.13151049613953
HARS,0.3,0.05,MLP,SMOTETomek,5.93253660202026,0.00480437278747559,0.169492483139038,6.10770726203918
HARS,0.3,0.05,XGB,SMOTETomek,6.09965038299561,0.00482082366943359,0.0733115673065186,6.1796019077301
