ratio_method,ratio_value,IR_original,clf_name,resampling_method,time_ratio,time_sampling,time_model,time_total
HARS,0,0.01,DT,ROS,2.69086146354675,4.76837158203125E-07,0.005767822265625,2.70057654380798
HARS,0,0.01,KNN,ROS,1.2106671333313,2.38418579101562E-07,0.0658254623413086,1.27722191810608
HARS,0,0.01,LR,ROS,1.0905122756958,2.38418579101562E-07,0.00672030448913574,1.09796047210693
HARS,0,0.01,svmrbf,ROS,0.999385833740234,2.38418579101562E-07,0.0185379981994629,1.01863622665405
HARS,0,0.01,svmlinear,ROS,0.95890736579895,2.38418579101562E-07,0.00485301017761231,0.964501142501831
HARS,0,0.01,RF,ROS,1.08376693725586,4.76837158203125E-07,0.0873394012451172,1.17184901237488
HARS,0,0.01,MLP,ROS,0.973534107208252,2.38418579101562E-07,0.184624910354614,1.15891146659851
HARS,0,0.01,XGB,ROS,0.998005628585815,2.38418579101562E-07,0.0233919620513916,1.02259707450867
HARS,0,0.01,DT,RUS,1.17645192146301,4.76837158203125E-07,0.00486183166503906,1.18238234519959
HARS,0,0.01,KNN,RUS,0.965038537979126,2.38418579101562E-07,0.0687739849090576,1.03456401824951
HARS,0,0.01,LR,RUS,0.954018831253052,4.76837158203125E-07,0.0070641040802002,0.961829662322998
HARS,0,0.01,svmrbf,RUS,1.05776858329773,4.76837158203125E-07,0.0154156684875488,1.07392454147339
HARS,0,0.01,svmlinear,RUS,1.49311208724976,4.76837158203125E-07,0.00486660003662109,1.49874758720398
HARS,0,0.01,RF,RUS,0.988967657089233,2.38418579101562E-07,0.0864937305450439,1.07622456550598
HARS,0,0.01,MLP,RUS,0.986790895462036,2.38418579101562E-07,0.181439161300659,1.16896653175354
HARS,0,0.01,XGB,RUS,1.00008368492126,2.38418579101562E-07,0.0213971138000488,1.0226743221283
HARS,0,0.01,DT,ADASYN,1.06354022026062,2.38418579101562E-07,0.00444936752319336,1.06901621818542
HARS,0,0.01,KNN,ADASYN,0.957117795944214,2.38418579101562E-07,0.0653119087219238,1.02313733100891
HARS,0,0.01,LR,ADASYN,0.988454818725586,2.38418579101562E-07,0.00671291351318359,0.995865345001221
HARS,0,0.01,svmrbf,ADASYN,0.9595947265625,2.38418579101562E-07,0.0153326988220215,0.975638389587402
HARS,0,0.01,svmlinear,ADASYN,0.972853183746338,2.38418579101562E-07,0.00465893745422363,0.978229761123657
HARS,0,0.01,RF,ADASYN,1.10635852813721,2.38418579101562E-07,0.0885007381439209,1.19556474685669
HARS,0,0.01,MLP,ADASYN,1.01234292984009,2.38418579101562E-07,0.181010484695435,1.19404792785645
HARS,0,0.01,XGB,ADASYN,1.03729963302612,2.38418579101562E-07,0.0200619697570801,1.05860161781311
HARS,0,0.01,DT,ClusterCentroids,1.01577758789063,2.38418579101562E-07,0.00449991226196289,1.02130007743835
HARS,0,0.01,KNN,ClusterCentroids,0.953081130981445,2.38418579101562E-07,0.0681867599487305,1.02204298973084
HARS,0,0.01,LR,ClusterCentroids,0.966917991638184,2.38418579101562E-07,0.00709390640258789,0.974801778793335
HARS,0,0.01,svmrbf,ClusterCentroids,0.960761308670044,2.38418579101562E-07,0.0160248279571533,0.977623462677002
HARS,0,0.01,svmlinear,ClusterCentroids,0.962997913360596,2.38418579101562E-07,0.00501322746276856,0.968739032745361
HARS,0,0.01,RF,ClusterCentroids,0.944048643112183,2.38418579101562E-07,0.0865390300750732,1.03131818771362
HARS,0,0.01,MLP,ClusterCentroids,0.955502510070801,2.38418579101562E-07,0.18105411529541,1.13725805282593
HARS,0,0.01,XGB,ClusterCentroids,1.01063513755798,2.38418579101562E-07,0.019017219543457,1.03084278106689
HARS,0,0.01,DT,SMOTE,0.957632303237915,2.38418579101562E-07,0.00457167625427246,0.963210582733154
HARS,0,0.01,KNN,SMOTE,0.988708972930908,2.38418579101562E-07,0.0730962753295898,1.06250834465027
HARS,0,0.01,LR,SMOTE,0.994085311889648,2.38418579101562E-07,0.00763511657714844,1.00249075889587
HARS,0,0.01,svmrbf,SMOTE,1.64453220367432,4.76837158203125E-07,0.021726131439209,1.66705799102783
HARS,0,0.01,svmlinear,SMOTE,1.17935824394226,2.38418579101562E-07,0.0055234432220459,1.18586611747742
HARS,0,0.01,RF,SMOTE,1.09670829772949,2.38418579101562E-07,0.104153394699097,1.20167231559753
HARS,0,0.01,MLP,SMOTE,1.29293513298035,4.76837158203125E-07,0.276823282241821,1.57081508636475
HARS,0,0.01,XGB,SMOTE,1.54482674598694,2.38418579101562E-07,0.0193490982055664,1.56596755981445
HARS,0,0.01,DT,SMOTEENN,1.00750923156738,2.38418579101562E-07,0.00488543510437012,1.01344132423401
HARS,0,0.01,KNN,SMOTEENN,0.987368106842041,4.76837158203125E-07,0.0744326114654541,1.06257724761963
HARS,0,0.01,LR,SMOTEENN,1.03324580192566,2.38418579101562E-07,0.0078730583190918,1.04192233085632
HARS,0,0.01,svmrbf,SMOTEENN,1.05475091934204,2.38418579101562E-07,0.0187344551086426,1.07431054115295
HARS,0,0.01,svmlinear,SMOTEENN,1.04424595832825,2.38418579101562E-07,0.00560951232910156,1.05075335502625
HARS,0,0.01,RF,SMOTEENN,1.06069564819336,2.38418579101562E-07,0.102623701095581,1.16416358947754
HARS,0,0.01,MLP,SMOTEENN,1.04113435745239,2.38418579101562E-07,0.233814239501953,1.2757625579834
HARS,0,0.01,XGB,SMOTEENN,2.71644592285156,4.76837158203125E-07,1.97517895698547,4.6934175491333
HARS,0,0.01,DT,SMOTETomek,1.42988109588623,2.38418579101562E-07,0.00538754463195801,1.44021916389465
